ID Commande,Date Commande,Nom Client,Pays,geoID,Code Pays,Region,Segment,Date Livraison,Mode Livraison
BN-2016-7407039,2016-01-01,Ruby Patel,Afrique du Sud,ZA,ZAF,Afrique australe,Home Office,2016-01-05,Economie Plus
AZ-2016-9050313,2016-01-03,Summer Hayward,Algérie,DZ,DZA,Afrique du Nord,Consommateur,2016-01-07,Economie
BN-2016-2819714,2016-01-04,Mary Parker,Angola,AO,AGO,Afrique australe,Entreprise,2016-01-09,Economie
AZ-2016-6674300,2016-01-04,Devin Huddleston,Bénin,BJ,BEN,Afrique de l'Ouest,Consommateur,2016-01-08,Economie
AZ-2016-617423,2016-01-05,Daniel Burke,Botswana,BW,BWA,Afrique australe,Home Office,2016-01-07,Prioritaire
AZ-2016-2918397,2016-01-07,Fredrick Beveridge,Burkina Faso,BF,BFA,Afrique de l'Ouest,Entreprise,2016-01-08,Prioritaire
BN-2016-3248724,2016-01-08,Archer Hort,Burundi,BI,BDI,Afrique centrale,Consommateur,2016-01-14,Economie
AZ-2016-6439906,2016-01-11,Summer Hayward,Cabo Verde,CV,CPV,Afrique de l'Ouest,Consommateur,2016-01-15,Economie
AZ-2016-6712797,2016-01-11,Evie Flockhart,Cameroun,CM,CMR,Afrique centrale,Consommateur,2016-01-16,Economie
AZ-2016-4827146,2016-01-11,Faith Greenwood,Comores,KM,COM,Afrique de l'Est,Consommateur,2016-01-15,Economie
AZ-2016-7053593,2016-01-11,Gracie Powell,Congo,CG,COG,Afrique centrale,Consommateur,2016-01-11,Immédiate
AZ-2016-2222024,2016-01-12,Viola Watson,Côte d'Ivoire,CI,CIV,Afrique de l'Ouest,Consommateur,2016-01-15,Prioritaire
AZ-2016-5702370,2016-01-12,Hershel Snyder,Djibouti,DJ,DJI,Afrique de l'Est,Entreprise,2016-01-19,Economie
AZ-2016-9927716,2016-01-12,Julia Martell,DR Congo,CD,COD,Afrique centrale,Home Office,2016-01-17,Economie
BN-2016-4913858,2016-01-13,Julian Dobie,Egypte,EG,EGY,Afrique du Nord,Consommateur,2016-01-19,Economie
BN-2016-2807470,2016-01-13,Rose Heap,Érythrée,ER,ERI,Afrique de l'Est,Consommateur,2016-01-20,Economie
